Id,Type,minDistance,maxDistance
[9],['Point'],[412.82562904936026],[0]
[2],['Line'],[87.78382538941898],[0]
[10],['Line'],[512.8060062050756],[0]
[3],['Segment'],[157.84169284444462],[0]
[6],['Triangle'],[601.568782434727],[0]
[13],['Triangle'],[827.5898742734834],[0]
[5],['Ellipse'],[475.00421050765436],[0]
[12],['Ellipse'],[689.4925670375279],[0]
[8],['Circle'],[329.07749847110483],[0]
[15],['Circle'],[741.3892365013131],[0]
[7],['Polygon'],[798.6413462875561],[0]
[14],['Polygon'],[896.3302962636039],[0]
[4],['Curve'],[266.2724168966812],[0]
[11],['Curve'],[549.713561775585],[0]
