Id,Type,minDistance,maxDistance
[1],['Point'],[478.0669409193654],[512.8060062050756]
[9],['Point'],[100.00499987500625],[119.4026800369238]
[2],['Line'],[395.9419149319759],[466.06437323614426]
[10],['Line'],[0.0],[114.48143954370944]
[3],['Segment'],[320.67740799750766],[431.65379646193315]
[4],['Curve'],[210.80085388821365],[457.39479664727276]
[11],['Curve'],[78.16009211867653],[284.98596456667826]
[7],['Polygon'],[462.70508966295154],[705.8987179475537]
[14],['Polygon'],[420.04285495649134],[559.8589107980688]
[5],['Ellipse'],[236.95780215050948],[351.2620104708165]
[12],['Ellipse'],[232.0086205294967],[289.15393824051574]
[6],['Triangle'],[354.5095203235027],[539.1892061234164]
[13],['Triangle'],[393.58480661732864],[554.9234181398367]
[8],['Circle'],[259.64976410541954],[300.74573978695025]
[15],['Circle'],[242.2312944274542],[268.79360111431225]
