id,type,min distance,max distance
1,Point,542.0747,612.1511
2,Point,338.541,612.1511
3,Point,314.01434,612.1511
4,Point,241.53674,612.1511
5,Point,241.53674,612.1511
6,Line,669.4356,740.49243
7,Line,529.37134,740.49243
8,Segment,314.9635,513.63995
9,Segment,57.035076,513.63995
10,Segment,57.035076,513.63995
25,Segment,57.035076,694.2082
26,Segment,57.035076,694.2082
27,Segment,57.035076,694.2082
16,Triangle,558.75305,674.0868
17,Triangle,194.5045,674.0868
21,Circle,214.18916,279.46558
22,Circle,214.18916,290.1758
23,Circle,214.18916,358.2206
24,Circle,214.18916,912.4911
13,Ellipse,146.64925,209.45883
14,Ellipse,146.64925,952.33295
15,Ellipse,146.64925,952.33295
11,Curve,380.8018,592.2837
12,Curve,380.8018,679.1995
19,Polygon,137.92752,322.27008
20,Polygon,137.92752,519.339
